Hierarchical agglomerative cluster analysis generated with version 1.7 (01.10.2024)
Analysis of data set CA_IGP-H-IFSW-8_2
Started on Sat Jun 21 22:13:46 2025
Finished on Sat Jun 21 22:19:39 2025
Total elapsed time: 353.46223497390747 s

#General 
input_data_path = \\AWE_LASER\igp\Cluster_analysis\Cluster-Ergebnisse_X-Ray\IGP-H-IFSW-8\IGP-H-IFSW-8_analysis_complete.csv
selected_features = ['depth', 'surface', 'B_total_norm', 'alpha', 'aspect_ratio_circ']

#Data preprocessing
data_scaling_mode = standardization
n_random_samples = 10
filter_outliers = True
outlier_limit = 3
calculate_PCA = True
apply_PCA = 0
PCA_selection_mode = eigenvalue
PCA_explanation_threshold = 0.5
PCA_components_number = 0

#Clustering parameters 
metric = euclidean
linkage = ward
cluster_criterion = maxclust
number_of_cluster = 10
cluster_sortation = dendrogram

#Sequence analysis parameters 
perform_sequence_analysis = True 
errors_equal = False 

#End of header

#Cluster sequence analysis
#Cluster block statistics
;cluster_-3;cluster_-1;cluster_0;cluster_1;cluster_2;cluster_3;cluster_4;cluster_5;cluster_6;cluster_7;cluster_8;cluster_9
N_blocks;82.0;3.0;75.0;203.0;236.0;90.0;170.0;56.0;75.0;96.0;115.0;98.0
mean;3.5121951219512195;1.0;2.36;2.3842364532019706;2.343220338983051;4.466666666666667;4.911764705882353;4.910714285714286;4.52;3.71875;2.4695652173913043;3.9693877551020407
min;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
max;40.0;1.0;11.0;12.0;32.0;33.0;29.0;19.0;38.0;65.0;13.0;27.0

#Block neighbors
;cluster_-3;cluster_-1;cluster_0;cluster_1;cluster_2;cluster_3;cluster_4;cluster_5;cluster_6;cluster_7;cluster_8;cluster_9
cluster_-3;0.0;0.0;10.0;11.0;10.0;0.0;8.0;6.0;16.0;4.0;3.0;14.0
cluster_-1;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
cluster_0;12.0;0.0;0.0;15.0;10.0;1.0;14.0;0.0;2.0;14.0;4.0;3.0
cluster_1;11.0;1.0;20.0;0.0;62.0;8.0;31.0;5.0;11.0;20.0;25.0;9.0
cluster_2;10.0;0.0;9.0;70.0;0.0;33.0;44.0;7.0;9.0;19.0;23.0;12.0
cluster_3;1.0;1.0;2.0;7.0;27.0;0.0;19.0;4.0;1.0;3.0;18.0;7.0
cluster_4;2.0;1.0;16.0;41.0;52.0;8.0;0.0;4.0;6.0;11.0;17.0;11.0
cluster_5;2.0;0.0;0.0;5.0;7.0;11.0;4.0;0.0;12.0;4.0;3.0;8.0
cluster_6;19.0;0.0;3.0;11.0;8.0;1.0;7.0;12.0;0.0;4.0;3.0;7.0
cluster_7;8.0;0.0;8.0;15.0;24.0;2.0;8.0;5.0;9.0;0.0;6.0;11.0
cluster_8;3.0;0.0;5.0;16.0;24.0;16.0;22.0;5.0;2.0;6.0;0.0;16.0
cluster_9;14.0;0.0;2.0;11.0;12.0;10.0;11.0;8.0;7.0;10.0;13.0;0.0

#Cluster block sequence
;cluster;block_size;start_index_working;end_index_working;start_index_real;end_index_real
0;4;1;1;1;0;0
1;8;2;2;3;1;2
2;4;2;4;5;3;4
3;8;1;6;6;5;5
4;9;27;7;33;6;32
5;-3;4;34;37;33;36
6;7;7;38;44;37;43
7;9;2;45;46;44;45
8;8;3;47;49;46;48
9;1;1;50;50;49;49
10;2;1;51;51;50;50
11;1;4;52;55;51;54
12;2;1;56;56;55;55
13;1;2;57;58;56;57
14;2;2;59;60;58;59
15;1;1;61;61;60;60
16;2;3;62;64;61;63
17;8;6;65;70;64;69
18;6;1;71;71;70;70
19;7;65;72;136;71;135
20;6;7;137;143;136;142
21;7;27;144;170;143;169
22;4;10;171;180;1700;1709
23;7;1;181;181;170;170
24;4;1;182;182;1710;1710
25;1;8;183;190;1711;1718
26;4;1;191;191;1719;1719
27;7;1;192;192;171;171
28;4;5;193;197;1720;1724
29;8;2;198;199;1725;1726
30;4;1;200;200;1727;1727
31;2;2;201;202;1728;1729
32;7;1;203;203;172;172
33;8;2;204;205;1730;1731
34;1;2;206;207;1732;1733
35;9;1;208;208;1734;1734
36;1;3;209;211;1735;1737
37;9;1;212;212;1738;1738
38;1;1;213;213;1739;1739
39;7;1;214;214;173;173
40;1;1;215;215;1740;1740
41;2;1;216;216;1741;1741
42;1;7;217;223;1742;1748
43;2;1;224;224;1749;1749
44;7;1;225;225;174;174
45;2;3;226;228;1750;1752
46;3;6;229;234;1753;1758
47;5;1;235;235;1759;1759
48;7;7;236;242;175;1765
49;6;1;243;243;1766;1766
50;7;6;244;249;1767;1771
51;1;7;250;256;1772;1778
52;8;1;257;257;1779;1779
53;7;1;258;258;177;177
54;1;9;259;267;1780;1788
55;4;1;268;268;1789;1789
56;7;1;269;269;178;178
57;4;4;270;273;1790;1793
58;9;2;274;275;1794;1795
59;4;4;276;279;1796;1799
60;7;1;280;280;179;179
61;4;1;281;281;1800;1800
62;8;4;282;285;1801;1804
63;2;4;286;289;1805;1808
64;3;1;290;290;1809;1809
65;7;1;291;291;180;180
66;3;1;292;292;1810;1810
67;9;9;293;301;1811;1819
68;7;1;302;302;181;181
69;5;6;303;308;1820;1825
70;3;4;309;312;1826;1829
71;7;1;313;313;182;182
72;3;4;314;317;1830;1833
73;5;6;318;323;1834;1839
74;7;1;324;324;183;183
75;3;2;325;326;1840;1841
76;2;2;327;328;1842;1843
77;1;6;329;334;1844;1849
78;7;1;335;335;184;184
79;1;1;336;336;1850;1850
80;-3;1;337;337;1851;1851
81;1;2;338;339;1852;1853
82;-3;1;340;340;1854;1854
83;7;1;341;341;1855;1855
84;9;2;342;343;1856;1857
85;-3;1;344;344;1858;1858
86;9;1;345;345;1859;1859
87;7;1;346;346;185;185
88;4;1;347;347;1860;1860
89;-3;6;348;353;1861;1866
90;9;3;354;356;1867;1869
91;7;1;357;357;186;186
92;9;1;358;358;1870;1870
93;1;1;359;359;1871;1871
94;8;1;360;360;1872;1872
95;4;2;361;362;1873;1874
96;1;4;363;366;1875;1878
97;2;1;367;367;1879;1879
98;7;1;368;368;187;187
99;4;4;369;372;1880;1883
100;1;6;373;378;1884;1889
101;7;1;379;379;188;188
102;1;3;380;382;1890;1892
