index;mesh_consistency;depth;volume;surface;s_v_ratio;B_total;B_total_norm;alpha;aspect_ratio_xz_mean;aspect_ratio_xz_std;aspect_ratio_xz_max;aspect_ratio_yz_mean;aspect_ratio_yz_std;aspect_ratio_yz_max;aspect_ratio_xy_mean;aspect_ratio_xy_std;aspect_ratio_xy_max;aspect_ratio_circ_mean;aspect_ratio_circ_std;aspect_ratio_circ_max;aspect_ratio_frontal_xy_mean;aspect_ratio_frontal_xy_std;aspect_ratio_frontal_xy_max;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;4.54497;1.60426;13.06;8.140825053;2.872621814;0.632044175;3.086539242;0.602497047;0.24722555;0.406042284;0.178638574;0.092537451;0.100689554;3.664547898;0.894797516;4.032615797;1.33043644;1.33043644;0.859433616;1.849976974;0.241475874;2.450856695;;3.855799867;1.240882181;2.994331403;1.932500542;1.932500542;0.984654085;2.464610796;0.958801425;2.319493104
2;1;4.49647;1.60672;14.6287;9.104697769;2.985009689;0.663856245;3.327666673;0.843305266;0.501286366;0.392805023;0.164638722;0.086779834;0.086509862;4.991896221;0.626375134;4.540580839;1.783782323;1.783782323;0.828085142;2.039543814;0.203927156;2.901367391;;;;;;;;;;
3;1;4.49553;1.82588;15.5793;8.532488444;3.22746493;0.71792757;0.075238052;0.921370784;0.567845758;0.404094289;0.173147698;0.095470575;0.091620565;5.159432951;0.691974018;4.410519492;1.951776316;1.951776316;0.853029565;2.14444971;0.330135853;2.581490375;;;;;;;;;;
4;1;4.51263;1.71512;15.1966;8.860371286;3.193808256;0.707748753;-0.319027452;0.886010514;0.549471123;0.407235692;0.163132465;0.089573923;0.091932642;5.268956079;0.743468587;4.42971812;1.876932205;1.876932205;0.857043454;2.236200967;0.395195023;2.519208982;;;;;;;;;;
5;1;4.51299;1.69027;15.6684;9.269761636;3.190701739;0.707003946;-0.795349113;0.932148823;0.557480655;0.402964997;0.157123514;0.086583495;0.093532226;5.793572253;0.948884193;4.308301154;1.961801835;1.961801835;0.847974403;2.365818558;0.468100627;2.545298619;;;;;;;;;;
6;0;4.51199;1.43075;14.5554;10.17326577;3.099243781;0.686890658;-0.119269465;0.842507634;0.515283206;0.401754658;0.14029416;0.07401614;0.091554059;5.829279932;1.093963385;4.388168709;1.774475464;1.774475464;0.838658774;2.290722376;0.513377991;2.325361724;;;;;;;;;;
7;1;4.53041;1.49806;15.3366;10.23764068;3.165766097;0.698781368;-0.536013247;0.912229145;0.555967384;0.392495823;0.138501174;0.069836627;0.091501873;6.348632536;1.239637831;4.289484032;1.908662046;1.908662046;0.820727042;2.748589489;0.612746364;2.644278853;;;;;;;;;;
8;1;4.52376;1.7795;14.8071;8.320932846;3.244116322;0.717128301;-0.814059403;0.774532195;0.523195525;0.323384309;0.166434222;0.077249552;0.113703203;4.31541176;1.182854874;2.844109059;1.642706723;1.642706723;0.692461581;2.307456564;0.601752643;2.152517857;;;;;;;;;;
9;1;4.53017;1.3288;15.1192;11.37808549;3.430147058;0.757178441;-0.676042626;1.010138768;0.786116069;0.476068448;0.124847993;0.052523815;0.089699504;7.19016729;3.159515922;5.307369929;2.094559914;2.094559914;0.969133609;2.774985097;0.794147806;2.512789341;;;;;;;;;;
10;1;4.54506;0.897308;9.50193;10.58937399;2.797344417;0.615469194;-0.75524716;0.43203711;0.214298227;0.25483778;0.119384243;0.04558597;0.089983851;3.572639249;0.71116086;2.832039063;0.945475091;0.945475091;0.547150093;2.349969014;0.809306603;2.148647129;;;;;;;;;;
11;1;4.54576;1.19255;13.4064;11.2417928;4.047652387;0.890423689;-1.956921464;0.899419041;0.890265254;0.486854563;0.124827015;0.048035732;0.091635062;6.01009775;3.954664901;5.312972481;1.87965736;1.87965736;1.002947802;2.948050424;1.026331;2.848496343;;;;;;;;;;
12;1;4.51234;1.18475;13.2672;11.19831188;4.010317719;0.88874458;-2.182603397;0.917162563;0.939556661;0.496747807;0.128234588;0.049368209;0.092879304;5.885283537;4.000805541;5.348315331;1.91890687;1.91890687;1.022267826;2.181437938;0.835456453;2.185362548;;;;;;;;;;
13;0;4.50205;1.14539;13.1997;11.524197;3.812714789;0.84688415;-1.904277882;0.91922617;0.938149557;0.494241512;0.123645866;0.045520698;0.091964772;6.152754842;4.229557593;5.374248243;1.917148248;1.917148248;1.013731522;2.278951448;0.922581206;2.121459798;;;;;;;;;;
14;1;4.36405;1.3852;15.9822;11.53782847;3.27674643;0.750849883;-1.033409697;1.186019308;0.950093761;0.508008158;0.130444413;0.053759461;0.094585076;8.037175356;3.721423608;5.370912412;2.442117854;2.442117854;1.036665483;1.859749221;0.583010253;1.65382025;;;;;;;;;;
15;1;4.36423;1.14149;13.1098;11.48481371;3.63231924;0.832293266;-1.375603556;0.98818329;1.065152348;0.53754683;0.131451507;0.054966159;0.094735383;6.117716918;4.099835491;5.674192823;2.054849767;2.054849767;1.093615598;1.88869194;0.625813774;1.750720165;;;;;;;;;;
16;1;4.27896;1.35807;16.0023;11.78311869;3.322726297;0.776526609;-2.085239724;1.24737495;0.967423821;0.596586086;0.135432816;0.060726465;0.098433732;8.30728211;4.502653177;6.06078909;2.570033907;2.570033907;1.213224709;0.924153941;0.452136804;1.021192135;;;;;;;;;;
