old_name;new_name;old_index;new_index
SK_4_C100005_lapl_smooth;IGP-H-IFSW-4_1;5;1
SK_4_C100006_lapl_smooth;IGP-H-IFSW-4_2;6;2
SK_4_C100007_lapl_smooth;IGP-H-IFSW-4_3;7;3
SK_4_C100008_lapl_smooth;IGP-H-IFSW-4_4;8;4
SK_4_C100009_lapl_smooth;IGP-H-IFSW-4_5;9;5
SK_4_C100010_lapl_smooth;IGP-H-IFSW-4_6;10;6
SK_4_C100011_lapl_smooth;IGP-H-IFSW-4_7;11;7
SK_4_C100012_lapl_smooth;IGP-H-IFSW-4_8;12;8
SK_4_C100013_lapl_smooth;IGP-H-IFSW-4_9;13;9
SK_4_C100014_lapl_smooth;IGP-H-IFSW-4_10;14;10
SK_4_C100015_lapl_smooth;IGP-H-IFSW-4_11;15;11
SK_4_C100016_lapl_smooth;IGP-H-IFSW-4_12;16;12
SK_4_C100017_lapl_smooth;IGP-H-IFSW-4_13;17;13
SK_4_C100018_lapl_smooth;IGP-H-IFSW-4_14;18;14
SK_4_C100019_lapl_smooth;IGP-H-IFSW-4_15;19;15
SK_4_C100020_lapl_smooth;IGP-H-IFSW-4_16;20;16
SK_4_C100021_lapl_smooth;IGP-H-IFSW-4_17;21;17
SK_4_C100022_lapl_smooth;IGP-H-IFSW-4_18;22;18
SK_4_C100023_lapl_smooth;IGP-H-IFSW-4_19;23;19
SK_4_C100024_lapl_smooth;IGP-H-IFSW-4_20;24;20
SK_4_C100025_lapl_smooth;IGP-H-IFSW-4_21;25;21
SK_4_C100026_lapl_smooth;IGP-H-IFSW-4_22;26;22
SK_4_C100027_lapl_smooth;IGP-H-IFSW-4_23;27;23
SK_4_C100028_lapl_smooth;IGP-H-IFSW-4_24;28;24
SK_4_C100029_lapl_smooth;IGP-H-IFSW-4_25;29;25
SK_4_C100030_lapl_smooth;IGP-H-IFSW-4_26;30;26
SK_4_C100031_lapl_smooth;IGP-H-IFSW-4_27;31;27
SK_4_C100032_lapl_smooth;IGP-H-IFSW-4_28;32;28
SK_4_C100033_lapl_smooth;IGP-H-IFSW-4_29;33;29
SK_4_C100034_lapl_smooth;IGP-H-IFSW-4_30;34;30
SK_4_C100035_lapl_smooth;IGP-H-IFSW-4_31;35;31
SK_4_C100036_lapl_smooth;IGP-H-IFSW-4_32;36;32
SK_4_C100037_lapl_smooth;IGP-H-IFSW-4_33;37;33
SK_4_C100038_lapl_smooth;IGP-H-IFSW-4_34;38;34
SK_4_C100039_lapl_smooth;IGP-H-IFSW-4_35;39;35
SK_4_C100040_lapl_smooth;IGP-H-IFSW-4_36;40;36
SK_4_C100041_lapl_smooth;IGP-H-IFSW-4_37;41;37
SK_4_C100042_lapl_smooth;IGP-H-IFSW-4_38;42;38
SK_4_C100043_lapl_smooth;IGP-H-IFSW-4_39;43;39
SK_4_C100044_lapl_smooth;IGP-H-IFSW-4_40;44;40
SK_4_C100045_lapl_smooth;IGP-H-IFSW-4_41;45;41
SK_4_C100046_lapl_smooth;IGP-H-IFSW-4_42;46;42
SK_4_C100047_lapl_smooth;IGP-H-IFSW-4_43;47;43
SK_4_C100048_lapl_smooth;IGP-H-IFSW-4_44;48;44
SK_4_C100049_lapl_smooth;IGP-H-IFSW-4_45;49;45
SK_4_C100050_lapl_smooth;IGP-H-IFSW-4_46;50;46
SK_4_C100051_lapl_smooth;IGP-H-IFSW-4_47;51;47
SK_4_C100052_lapl_smooth;IGP-H-IFSW-4_48;52;48
SK_4_C100053_lapl_smooth;IGP-H-IFSW-4_49;53;49
SK_4_C100054_lapl_smooth;IGP-H-IFSW-4_50;54;50
SK_4_C100055_lapl_smooth;IGP-H-IFSW-4_51;55;51
SK_4_C100056_lapl_smooth;IGP-H-IFSW-4_52;56;52
SK_4_C100057_lapl_smooth;IGP-H-IFSW-4_53;57;53
SK_4_C100058_lapl_smooth;IGP-H-IFSW-4_54;58;54
SK_4_C100059_lapl_smooth;IGP-H-IFSW-4_55;59;55
SK_4_C100060_lapl_smooth;IGP-H-IFSW-4_56;60;56
SK_4_C100061_lapl_smooth;IGP-H-IFSW-4_57;61;57
SK_4_C100062_lapl_smooth;IGP-H-IFSW-4_58;62;58
SK_4_C100063_lapl_smooth;IGP-H-IFSW-4_59;63;59
SK_4_C100064_lapl_smooth;IGP-H-IFSW-4_60;64;60
SK_4_C100065_lapl_smooth;IGP-H-IFSW-4_61;65;61
SK_4_C100066_lapl_smooth;IGP-H-IFSW-4_62;66;62
SK_4_C100067_lapl_smooth;IGP-H-IFSW-4_63;67;63
SK_4_C100068_lapl_smooth;IGP-H-IFSW-4_64;68;64
SK_4_C100069_lapl_smooth;IGP-H-IFSW-4_65;69;65
SK_4_C100070_lapl_smooth;IGP-H-IFSW-4_66;70;66
SK_4_C100071_lapl_smooth;IGP-H-IFSW-4_67;71;67
SK_4_C100072_lapl_smooth;IGP-H-IFSW-4_68;72;68
SK_4_C100073_lapl_smooth;IGP-H-IFSW-4_69;73;69
SK_4_C100074_lapl_smooth;IGP-H-IFSW-4_70;74;70
SK_4_C100075_lapl_smooth;IGP-H-IFSW-4_71;75;71
SK_4_C100076_lapl_smooth;IGP-H-IFSW-4_72;76;72
SK_4_C100077_lapl_smooth;IGP-H-IFSW-4_73;77;73
SK_4_C100078_lapl_smooth;IGP-H-IFSW-4_74;78;74
SK_4_C100079_lapl_smooth;IGP-H-IFSW-4_75;79;75
SK_4_C100080_lapl_smooth;IGP-H-IFSW-4_76;80;76
SK_4_C100081_lapl_smooth;IGP-H-IFSW-4_77;81;77
SK_4_C100082_lapl_smooth;IGP-H-IFSW-4_78;82;78
SK_4_C100083_lapl_smooth;IGP-H-IFSW-4_79;83;79
SK_4_C100084_lapl_smooth;IGP-H-IFSW-4_80;84;80
SK_4_C100085_lapl_smooth;IGP-H-IFSW-4_81;85;81
SK_4_C100086_lapl_smooth;IGP-H-IFSW-4_82;86;82
SK_4_C100087_lapl_smooth;IGP-H-IFSW-4_83;87;83
SK_4_C100088_lapl_smooth;IGP-H-IFSW-4_84;88;84
SK_4_C100089_lapl_smooth;IGP-H-IFSW-4_85;89;85
SK_4_C100090_lapl_smooth;IGP-H-IFSW-4_86;90;86
SK_4_C100091_lapl_smooth;IGP-H-IFSW-4_87;91;87
SK_4_C100092_lapl_smooth;IGP-H-IFSW-4_88;92;88
SK_4_C100093_lapl_smooth;IGP-H-IFSW-4_89;93;89
SK_4_C100094_lapl_smooth;IGP-H-IFSW-4_90;94;90
SK_4_C100095_lapl_smooth;IGP-H-IFSW-4_91;95;91
SK_4_C100096_lapl_smooth;IGP-H-IFSW-4_92;96;92
SK_4_C100097_lapl_smooth;IGP-H-IFSW-4_93;97;93
SK_4_C100098_lapl_smooth;IGP-H-IFSW-4_94;98;94
SK_4_C100099_lapl_smooth;IGP-H-IFSW-4_95;99;95
SK_4_C100100_lapl_smooth;IGP-H-IFSW-4_96;100;96
SK_4_C100101_lapl_smooth;IGP-H-IFSW-4_97;101;97
SK_4_C100102_lapl_smooth;IGP-H-IFSW-4_98;102;98
SK_4_C100103_lapl_smooth;IGP-H-IFSW-4_99;103;99
SK_4_C100104_lapl_smooth;IGP-H-IFSW-4_100;104;100
SK_4_C100105_lapl_smooth;IGP-H-IFSW-4_101;105;101
SK_4_C100106_lapl_smooth;IGP-H-IFSW-4_102;106;102
SK_4_C100107_lapl_smooth;IGP-H-IFSW-4_103;107;103
SK_4_C100108_lapl_smooth;IGP-H-IFSW-4_104;108;104
SK_4_C100109_lapl_smooth;IGP-H-IFSW-4_105;109;105
SK_4_C100110_lapl_smooth;IGP-H-IFSW-4_106;110;106
SK_4_C100111_lapl_smooth;IGP-H-IFSW-4_107;111;107
SK_4_C100112_lapl_smooth;IGP-H-IFSW-4_108;112;108
SK_4_C100113_lapl_smooth;IGP-H-IFSW-4_109;113;109
SK_4_C100114_lapl_smooth;IGP-H-IFSW-4_110;114;110
SK_4_C100115_lapl_smooth;IGP-H-IFSW-4_111;115;111
